endpoint	operation_id	param_value_tested	http_status	n_results	result_shape	notes	url
/biosamples/genomic-elements	genomicElementsFromBiosamples	verbose=true	400			"{""message"":""At least one parameter must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/biosamples/genomic-elements?verbose=true&page=0
/coding-variants/phenotypes-count	codingVariantsCountFromGene	files_fileset=IGVFFI6893ZOAA	400			"{""message"":""Input validation failed"",""code"":""BAD_REQUEST"",""issues"":[{""code"":""invalid_type"",""expected"":""string"",""received"":""undefined"",""path"":[""gene_id""],""message"":""Required""}]}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/coding-variants/phenotypes-count?files_fileset=IGVFFI6893ZOAA
/coding-variants/phenotypes/score-summary	codingVariantsSummary	files_fileset=IGVFFI6893ZOAA	400			"{""message"":""variant_id or coding_variant_id is required"",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/coding-variants/phenotypes/score-summary?files_fileset=IGVFFI6893ZOAA
/complexes/proteins	proteinsFromComplexes	verbose=true	400			"{""message"":""At least one parameter must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/complexes/proteins?verbose=true&page=0
/diseases/genes	genesFromDiseases	verbose=true	400			"{""message"":""disease_id or term_name must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/diseases/genes?verbose=true&page=0
/diseases/genes	genesFromDiseases	source=Orphanet	400			"{""message"":""disease_id or term_name must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/diseases/genes?source=Orphanet&page=0
/diseases/variants	variantsFromDiseases	assertion=Pathogenic	400			"{""message"":""disease_id or term_name must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/diseases/variants?assertion=Pathogenic&page=0
/diseases/variants	variantsFromDiseases	pmid=2574002	400			"{""message"":""disease_id or term_name must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/diseases/variants?pmid=2574002&page=0
/drugs/variants	variantsFromDrugs	verbose=true	400			"{""message"":""At least one node property for variant / drug must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/drugs/variants?verbose=true&page=0
/drugs/variants	variantsFromDrugs	pmid=20824505	400			"{""message"":""At least one node property for variant / drug must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/drugs/variants?pmid=20824505&page=0
/drugs/variants	variantsFromDrugs	phenotype_categories=Toxicity	400			"{""message"":""At least one node property for variant / drug must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/drugs/variants?phenotype_categories=Toxicity&page=0
/gene-products/go-terms	goTermsFromAnnotations	name=involved in	400			"{""message"":""Input validation failed"",""code"":""BAD_REQUEST"",""issues"":[{""code"":""invalid_type"",""expected"":""string"",""received"":""undefined"",""path"":[""query""],""message"":""Required""}]}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/gene-products/go-terms?name=involved+in&page=0
/genes-structure	genesStructure	organism=Homo sapiens	400			"{""message"":""Please provide parameters from only one of the four categories: gene, transcript, protein or region"",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/genes-structure?organism=Homo+sapiens&page=0
/genes-structure	genesStructure	type=exon	400			"{""message"":""Please provide parameters from only one of the four categories: gene, transcript, protein or region"",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/genes-structure?type=exon&page=0
/genes/coding-variants/all-scores	allCodingVariantsFromGenes	gene_id=ENSG00000165841	400			"{""message"":""Input validation failed"",""code"":""BAD_REQUEST"",""issues"":[{""expected"":""'DUAL-IPA' | 'ESM-1v' | 'MutPred2' | 'SGE' | 'VAMP-seq'"",""received"":""undefined"",""code"":""invalid_type"",""path"":[""dataset""],""message"":""Required""}]}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/genes/coding-variants/all-scores?gene_id=ENSG00000165841&page=0
/genes/coding-variants/all-scores	allCodingVariantsFromGenes	dataset=VAMP-seq	400			"{""message"":""Input validation failed"",""code"":""BAD_REQUEST"",""issues"":[{""code"":""invalid_type"",""expected"":""string"",""received"":""undefined"",""path"":[""gene_id""],""message"":""Required""}]}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/genes/coding-variants/all-scores?dataset=VAMP-seq&page=0
/genes/diseases	diseasesFromGenes	verbose=true	400			"{""message"":""At least one gene property must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/genes/diseases?verbose=true&page=0
/genes/diseases	diseasesFromGenes	source=ClinGen	400			"{""message"":""At least one gene property must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/genes/diseases?source=ClinGen&page=0
/genes/genomic-elements	genomicElementsFromGenes	verbose=true	400			"{""message"":""At least one of those properties must be defined: gene_id, hgnc_id, name, alias, method, files_fileset."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/genes/genomic-elements?verbose=true&page=0
/genes/pathways	pathwaysFromGenes	verbose=true	400			"{""message"":""At least one gene property must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/genes/pathways?verbose=true&page=0
/genes/proteins	proteinsFromGenes	verbose=true	400			"{""message"":""At least one gene property must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/genes/proteins?verbose=true&page=0
/genes/transcripts	transcriptsFromGenes	verbose=true	400			"{""message"":""At least one gene property must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/genes/transcripts?verbose=true&page=0
/genes/transcripts	transcriptsFromGenes	organism=Homo sapiens	400			"{""message"":""At least one gene property must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/genes/transcripts?organism=Homo+sapiens&page=0
/genomic-elements/biosamples	biosamplesFromGenomicElements	verbose=true	400			"{""message"":""At least one parameter must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/genomic-elements/biosamples?verbose=true&page=0
/genomic-elements/genes	genesFromGenomicElements	verbose=true	400			"{""message"":""At least one of those properties must be defined: region, files_fileset, method."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/genomic-elements/genes?verbose=true&page=0
/genomic-elements/variants	variantsFromGenomicElements	region_type=accessible dna elements	400			"{""message"":""At least one of these properties must be defined: region, method, files_fileset."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/genomic-elements/variants?region_type=accessible+dna+elements&page=0
/genomic-elements/variants	variantsFromGenomicElements	biosample_term=EFO_0002067	400			"{""message"":""At least one of these properties must be defined: region, method, files_fileset."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/genomic-elements/variants?biosample_term=EFO_0002067&page=0
/genomic-elements/variants	variantsFromGenomicElements	biological_context=K562	400			"{""message"":""At least one of these properties must be defined: region, method, files_fileset."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/genomic-elements/variants?biological_context=K562&page=0
/go-terms/gene-products	annotationsFromGoTerms	name=has component	400			"{""message"":""Input validation failed"",""code"":""BAD_REQUEST"",""issues"":[{""code"":""invalid_type"",""expected"":""string"",""received"":""undefined"",""path"":[""go_term_id""],""message"":""Required""}]}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/go-terms/gene-products?name=has+component&page=0
/pathways/genes	genesFromPathways	verbose=true	400			"{""message"":""At least one pathway property must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/pathways/genes?verbose=true&page=0
/pathways/pathways	pathwaysFromPathways	verbose=true	400			"{""message"":""At least one pathway property must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/pathways/pathways?verbose=true&page=0
/proteins/complexes	complexesFromProteins	verbose=true	400			"{""message"":""At least one of the following parameters must be defined: protein_id, name, uniprot_name or uniprot_full_name."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/proteins/complexes?verbose=true&page=0
/proteins/complexes	complexesFromProteins	dbxrefs=P67870	400			"{""message"":""At least one of the following parameters must be defined: protein_id, name, uniprot_name or uniprot_full_name."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/proteins/complexes?dbxrefs=P67870&page=0
/proteins/proteins	proteinsProteins	verbose=true	400			"{""message"":""At least one protein must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/proteins/proteins?verbose=true&page=0
/proteins/proteins	proteinsProteins	detection_method=affinity chromatography technology	400			"{""message"":""At least one protein must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/proteins/proteins?detection_method=affinity+chromatography+technology&page=0
/proteins/proteins	proteinsProteins	interaction_type=physical association	400			"{""message"":""At least one protein must be defined."",""code"":""BAD_REQUEST""}"	https://catalog-api-dserv-1293-example.demo.igvf.org/api/proteins/proteins?interaction_type=physical+association&page=0
